tbl_clicks@1460537147
click_id,click_total,click_latitude,click_longitude,click_accuracy,click_address,click_timestamp
52,1,54.005619,-2.7850441,24.68899917602539,South Dr Bailrigg Lancaster, Lancashire LA1,1459952601
53,2,54.005619,-2.7850441,24.68899917602539,South Dr Bailrigg Lancaster, Lancashire LA1,1459952601
54,2,54.005619,-2.7850441,24.68899917602539,South Dr Bailrigg Lancaster, Lancashire LA1,1459952601
55,1,54.005619,-2.7850441,24.68899917602539,South Dr Bailrigg Lancaster, Lancashire LA1,1459952603
56,1,54.005619,-2.7850441,24.68899917602539,South Dr Bailrigg Lancaster, Lancashire LA1,1459952603
57,1,54.005619,-2.7850441,24.68899917602539,South Dr Bailrigg Lancaster, Lancashire LA1,1459952605
58,1,54.005619,-2.7850441,24.68899917602539,South Dr Bailrigg Lancaster, Lancashire LA1,1459952605
59,1,54.0055999,-2.7850285,17.665000915527344,South Dr Bailrigg Lancaster, Lancashire LA1,1459952670
60,1,54.0055999,-2.7850285,17.665000915527344,South Dr Bailrigg Lancaster, Lancashire LA1,1459952672
61,1,54.0055999,-2.7850285,17.665000915527344,South Dr Bailrigg Lancaster, Lancashire LA1,1459952673
62,1,54.0055999,-2.7850285,17.665000915527344,South Dr Bailrigg Lancaster, Lancashire LA1,1459952674
63,1,54.0055999,-2.7850285,17.665000915527344,South Dr Bailrigg Lancaster, Lancashire LA1,1459952675
64,1,54.0055999,-2.7850285,17.665000915527344,South Dr Bailrigg Lancaster, Lancashire LA1,1459952675
65,1,54.0055999,-2.7850285,17.665000915527344,South Dr Bailrigg Lancaster, Lancashire LA1,1459952676
66,1,54.0055999,-2.7850285,17.665000915527344,South Dr Bailrigg Lancaster, Lancashire LA1,1459952677
67,1,54.0055999,-2.7850285,17.665000915527344,South Dr Bailrigg Lancaster, Lancashire LA1,1459952678
68,1,54.0055999,-2.7850285,17.665000915527344,South Dr Bailrigg Lancaster, Lancashire LA1,1459952678
69,1,54.0055999,-2.7850285,17.665000915527344,South Dr Bailrigg Lancaster, Lancashire LA1,1459952679
70,1,54.0055999,-2.7850285,17.665000915527344,South Dr Bailrigg Lancaster, Lancashire LA1,1459952680
71,1,54.0055999,-2.7850285,17.665000915527344,South Dr Bailrigg Lancaster, Lancashire LA1,1459952681
72,1,54.0055999,-2.7850285,17.665000915527344,South Dr Bailrigg Lancaster, Lancashire LA1,1459952681
73,1,54.0055999,-2.7850285,17.665000915527344,South Dr Bailrigg Lancaster, Lancashire LA1,1459952682
74,2,54.0055999,-2.7850285,17.665000915527344,South Dr Bailrigg Lancaster, Lancashire LA1,1459952683
75,2,54.0055999,-2.7850285,17.665000915527344,South Dr Bailrigg Lancaster, Lancashire LA1,1459952683
76,2,54.005617,-2.7850429,13.239999771118164,South Dr Bailrigg Lancaster, Lancashire LA1,1459952684
77,1,54.005617,-2.7850429,13.239999771118164,South Dr Bailrigg Lancaster, Lancashire LA1,1459952685
78,2,54.005617,-2.7850429,13.239999771118164,South Dr Bailrigg Lancaster, Lancashire LA1,1459952693
79,1,54.0056123,-2.7850453,13.461999893188477,South Dr Bailrigg Lancaster, Lancashire LA1,1459952696
80,2,54.0056123,-2.7850453,13.461999893188477,South Dr Bailrigg Lancaster, Lancashire LA1,1459952701
81,2,54.0056123,-2.7850453,13.461999893188477,South Dr Bailrigg Lancaster, Lancashire LA1,1459952710
82,2,54.0056123,-2.7850453,13.461999893188477,South Dr Bailrigg Lancaster, Lancashire LA1,1459952710
83,1,54.0056123,-2.7850453,13.461999893188477,South Dr Bailrigg Lancaster, Lancashire LA1,1459952711
84,1,54.0056162,-2.7850431,12.8100004196167,South Dr Bailrigg Lancaster, Lancashire LA1,1459952713
85,1,54.0056162,-2.7850431,12.8100004196167,South Dr Bailrigg Lancaster, Lancashire LA1,1459952713
86,1,54.0056169,-2.7850549,10.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459952740
87,1,54.0056169,-2.7850549,10.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459952746
